"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 01 09:20:46 GMT 2022","Thu Dec 01 09:20:46 GMT 2022","85","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Thu Dec 01 09:20:46 GMT 2022","Thu Dec 01 09:20:46 GMT 2022","4","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Thu Dec 01 09:20:46 GMT 2022","Thu Dec 01 09:20:46 GMT 2022","6","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Thu Dec 01 09:20:46 GMT 2022","Thu Dec 01 09:20:47 GMT 2022","1029","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
"failed","Thu Dec 01 09:20:47 GMT 2022","Thu Dec 01 09:20:47 GMT 2022","20","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
"passed","Thu Dec 01 09:20:46 GMT 2022","Thu Dec 01 09:20:46 GMT 2022","3","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Thu Dec 01 09:20:47 GMT 2022","Thu Dec 01 09:20:49 GMT 2022","2005","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"passed","Thu Dec 01 09:20:49 GMT 2022","Thu Dec 01 09:20:51 GMT 2022","2005","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
