"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 01 08:59:15 GMT 2022","Thu Dec 01 08:59:16 GMT 2022","1018","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
"passed","Thu Dec 01 08:59:13 GMT 2022","Thu Dec 01 08:59:13 GMT 2022","4","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Thu Dec 01 08:59:13 GMT 2022","Thu Dec 01 08:59:13 GMT 2022","1","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Thu Dec 01 08:59:13 GMT 2022","Thu Dec 01 08:59:13 GMT 2022","8","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"failed","Thu Dec 01 08:59:16 GMT 2022","Thu Dec 01 08:59:18 GMT 2022","2006","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"passed","Thu Dec 01 08:59:18 GMT 2022","Thu Dec 01 08:59:20 GMT 2022","2008","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
"passed","Thu Dec 01 08:59:14 GMT 2022","Thu Dec 01 08:59:15 GMT 2022","1030","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
"passed","Thu Dec 01 08:59:13 GMT 2022","Thu Dec 01 08:59:13 GMT 2022","89","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
