"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 01 08:49:59 GMT 2022","Thu Dec 01 08:49:59 GMT 2022","3","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Thu Dec 01 08:49:59 GMT 2022","Thu Dec 01 08:49:59 GMT 2022","110","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"failed","Thu Dec 01 08:50:00 GMT 2022","Thu Dec 01 08:50:00 GMT 2022","41","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
"passed","Thu Dec 01 08:49:59 GMT 2022","Thu Dec 01 08:49:59 GMT 2022","5","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Thu Dec 01 08:49:59 GMT 2022","Thu Dec 01 08:50:00 GMT 2022","5","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"failed","Thu Dec 01 08:50:01 GMT 2022","Thu Dec 01 08:50:02 GMT 2022","1005","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"failed","Thu Dec 01 08:50:00 GMT 2022","Thu Dec 01 08:50:01 GMT 2022","1042","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
"passed","Thu Dec 01 08:50:02 GMT 2022","Thu Dec 01 08:50:04 GMT 2022","2007","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
